================================================================================
WORD                      GOLD       PREDICTED  STATUS    
Pittsburgh                NNP        NNP        ✓         
,                         ,          ,          ✓         
sought                    VBD        VBD        ✓         
$                         $          $          ✓         
21                        CD         CD         ✓         
million                   CD         CD         ✓         
in                        IN         IN         ✓         
compensatory              JJ         JJ         ✓         
damages                   NNS        NNS        ✓         
from                      IN         IN         ✓         
Grace                     NNP        NNP        ✓         
,                         ,          ,          ✓         
arguing                   VBG        VBG        ✓         
that                      IN         IN         ✓         
the                       DT         DT         ✓         
asbestos                  NN         NN         ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
can                       MD         MD         ✓         
cause                     VB         VB         ✓         
respiratory               JJ         NN         ✗ JJ->NN  
diseases                  NNS        NNS        ✓         
and                       CC         CC         ✓         
lung                      NN         NN         ✓         
cancer                    NN         NN         ✓         
,                         ,          ,          ✓         
posed                     VBD        VBD        ✓         
a                         DT         DT         ✓         
risk                      NN         NN         ✓         
to                        TO         TO         ✓         
students                  NNS        NNS        ✓         
.                         .          .          ✓         

Grace                     NNP        NNP        ✓         
successfully              RB         RB         ✓         
contended                 VBD        VBD        ✓         
that                      IN         IN         ✓         
removing                  VBG        VBG        ✓         
the                       DT         DT         ✓         
fire                      NN         NN         ✓         
retardant                 NN         NN         ✓         
would                     MD         MD         ✓         
pose                      VB         VB         ✓         
a                         DT         DT         ✓         
greater                   JJR        JJR        ✓         
health                    NN         NN         ✓         
risk                      NN         NN         ✓         
than                      IN         IN         ✓         
leaving                   VBG        VBG        ✓         
it                        PRP        PRP        ✓         
alone                     RB         RB         ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
spokesman                 NN         NN         ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
said                      VBD        VBD        ✓         
the                       DT         DT         ✓         
verdict                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
thought                   VBN        VBN        ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
the                       DT         DT         ✓         
first                     JJ         JJ         ✓         
in                        IN         IN         ✓         
favor                     NN         NN         ✓         
of                        IN         IN         ✓         
an                        DT         DT         ✓         
asbestos                  NN         NN         ✓         
manufacturer              NN         NN         ✓         
where                     WRB        WRB        ✓         
the                       DT         DT         ✓         
plaintiff                 NN         NN         ✓         
was                       VBD        VBD        ✓         
a                         DT         DT         ✓         
school                    NN         NN         ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
asbestos                  NN         NN         ✓         
in                        IN         IN         ✓         
question                  NN         NN         ✓         
was                       VBD        VBD        ✓         
used                      VBN        VBN        ✓         
for                       IN         IN         ✓         
fireproofing              VBG        NN         ✗ VBG->NN 
.                         .          .          ✓         

FCC                       NNP        NNP        ✓         
COUNSEL                   NN         NNP        ✗ NN->NNP 
JOINS                     VBZ        NNP        ✗ VBZ->NNP
FIRM                      NN         NNP        ✗ NN->NNP 
:                         :          :          ✓         

Diane                     NNP        NNP        ✓         
S.                        NNP        NNP        ✓         
Killory                   NNP        NNP        ✓         
will                      MD         MD         ✓         
join                      VB         VB         ✓         
500-lawyer                NN         JJ         ✗ NN->JJ  
Morrison                  NNP        NNP        ✓         
&                         CC         CC         ✓         
Foerster                  NNP        NNP        ✓         
as                        IN         IN         ✓         
a                         DT         DT         ✓         
partner                   NN         NN         ✓         
in                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
Washington                NNP        NNP        ✓         
,                         ,          ,          ✓         
D.C.                      NNP        NNP        ✓         
,                         ,          ,          ✓         
office                    NN         NN         ✓         
in                        IN         IN         ✓         
mid-November              NNP        NNP        ✓         
.                         .          .          ✓         

She                       PRP        PRP        ✓         
will                      MD         MD         ✓         
help                      VB         VB         ✓         
develop                   VB         VB         ✓         
the                       DT         DT         ✓         
mass-media                NNS        JJ         ✗ NNS->JJ 
practice                  NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
San                       NNP        NNP        ✓         
Francisco-based           JJ         JJ         ✓         
firm                      NN         NN         ✓         
's                        POS        POS        ✓         
communications            NNS        NNS        ✓         
group                     NN         NN         ✓         
.                         .          .          ✓         

Ms.                       NNP        NNP        ✓         
Killory                   NNP        NNP        ✓         
,                         ,          ,          ✓         
35                        CD         CD         ✓         
years                     NNS        NNS        ✓         
old                       JJ         JJ         ✓         
,                         ,          ,          ✓         
resigned                  VBD        VBD        ✓         
as                        IN         IN         ✓         
Federal                   NNP        NNP        ✓         
Communications            NNP        NNPS       ✗ NNP->NNPS
Commission                NNP        NNP        ✓         
general                   JJ         JJ         ✓         
counsel                   NN         NN         ✓         
early                     RB         RB         ✓         
this                      DT         DT         ✓         
month                     NN         NN         ✓         
after                     IN         IN         ✓         
nearly                    RB         RB         ✓         
three                     CD         CD         ✓         
years                     NNS        NNS        ✓         
in                        IN         IN         ✓         
that                      DT         DT         ✓         
post                      NN         NN         ✓         
.                         .          .          ✓         

She                       PRP        PRP        ✓         
was                       VBD        VBD        ✓         
the                       DT         DT         ✓         
first                     JJ         JJ         ✓         
woman                     NN         NN         ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
appointed                 VBN        VBN        ✓         
FCC                       NNP        NNP        ✓         
general                   JJ         JJ         ✓         
counsel                   NN         NN         ✓         
.                         .          .          ✓         

RICHARD                   NNP        NNP        ✓         
P.                        NNP        NNP        ✓         
MAGURNO                   NNP        NNP        ✓         
,                         ,          ,          ✓         
formerly                  RB         RB         ✓         
Eastern                   NNP        NNP        ✓         
Airlines                  NNP        NNPS       ✗ NNP->NNPS
'                         POS        POS        ✓         
top                       NN         JJ         ✗ NN->JJ  
lawyer                    NN         NN         ✓         
,                         ,          ,          ✓         
joined                    VBD        VBD        ✓         
the                       DT         DT         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
law                       NN         NN         ✓         
firm                      NN         NN         ✓         
of                        IN         IN         ✓         
Lord                      NNP        NNP        ✓         
Day                       NNP        NNP        ✓         
&                         CC         CC         ✓         
Lord                      NNP        NNP        ✓         
,                         ,          ,          ✓         
Barrett                   NNP        NNP        ✓         
Smith                     NNP        NNP        ✓         
as                        IN         IN         ✓         
a                         DT         DT         ✓         
partner                   NN         NN         ✓         
.                         .          .          ✓         

Mr.                       NNP        NNP        ✓         
Magurno                   NNP        NNP        ✓         
,                         ,          ,          ✓         
45                        CD         CD         ✓         
,                         ,          ,          ✓         
spent                     VBD        VBD        ✓         
17                        CD         CD         ✓         
years                     NNS        NNS        ✓         
at                        IN         IN         ✓         
the                       DT         DT         ✓         
Miami                     NNP        NNP        ✓         
airline                   NN         NN         ✓         
unit                      NN         NN         ✓         
of                        IN         IN         ✓         
Houston-based             JJ         JJ         ✓         
Texas                     NNP        NNP        ✓         
Air                       NNP        NNP        ✓         
Corp.                     NNP        NNP        ✓         
and                       CC         CC         ✓         
was                       VBD        VBD        ✓         
named                     VBN        VBN        ✓         
general                   JJ         JJ         ✓         
counsel                   NN         NN         ✓         
in                        IN         IN         ✓         
1984                      CD         CD         ✓         
.                         .          .          ✓         

He                        PRP        PRP        ✓         
left                      VBD        VBD        ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
in                        IN         IN         ✓         
1987                      CD         CD         ✓         
.                         .          .          ✓         

Mr.                       NNP        NNP        ✓         
Magurno                   NNP        NNP        ✓         
said                      VBD        VBD        ✓         
he                        PRP        PRP        ✓         
will                      MD         MD         ✓         
split                     VB         VB         ✓         
his                       PRP$       PRP$       ✓         
time                      NN         NN         ✓         
between                   IN         IN         ✓         
the                       DT         DT         ✓         
200-lawyer                NN         JJ         ✗ NN->JJ  
firm                      NN         NN         ✓         
's                        POS        POS        ✓         
offices                   NNS        NNS        ✓         
in                        IN         IN         ✓         
Washington                NNP        NNP        ✓         
,                         ,          ,          ✓         
D.C.                      NNP        NNP        ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
,                         ,          ,          ✓         
with                      IN         IN         ✓         
specialties               NNS        NNS        ✓         
in                        IN         IN         ✓         
aviation                  NN         NN         ✓         
and                       CC         CC         ✓         
labor                     NN         NN         ✓         
law                       NN         NN         ✓         
.                         .          .          ✓         

Apple                     NNP        NNP        ✓         
Computer                  NNP        NNP        ✓         
Inc.                      NNP        NNP        ✓         
said                      VBD        VBD        ✓         
it                        PRP        PRP        ✓         
will                      MD         MD         ✓         
offer                     VB         VB         ✓         
cash                      NN         NN         ✓         
rebates                   NNS        NNS        ✓         
on                        IN         IN         ✓         
several                   JJ         JJ         ✓         
of                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
machines                  NNS        NNS        ✓         
from                      IN         IN         ✓         
Oct.                      NNP        NNP        ✓         
14                        CD         CD         ✓         
to                        TO         TO         ✓         
Dec.                      NNP        NNP        ✓         
31.                       CD         CD         ✓         
,                         ,          ,          ✓         
as                        IN         IN         ✓         
part                      NN         NN         ✓         
of                        IN         IN         ✓         
a                         DT         DT         ✓         
holiday-season            JJ         JJ         ✓         
sales                     NNS        NNS        ✓         
promotion                 NN         NN         ✓         
.                         .          .          ✓         

Apple                     NNP        NNP        ✓         
will                      MD         MD         ✓         
offer                     VB         VB         ✓         
a                         DT         DT         ✓         
$                         $          $          ✓         
150                       CD         CD         ✓         
rebate                    NN         NN         ✓         
on                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
Apple                     NNP        NNP        ✓         
IIGS                      NNP        NNP        ✓         
with                      IN         IN         ✓         
any                       DT         DT         ✓         
Apple                     NNP        NNP        ✓         
Monitor                   NNP        NNP        ✓         
and                       CC         CC         ✓         
disk                      NN         NN         ✓         
drive                     NN         NN         ✓         
;                         :          :          ✓         
$                         $          $          ✓         
200                       CD         CD         ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
basic                     JJ         JJ         ✓         
Macintosh                 NNP        NNP        ✓         
Plus                      NNP        NNP        ✓         
central                   JJ         JJ         ✓         
processing                NN         NN         ✓         
unit                      NN         NN         ✓         
;                         :          :          ✓         
$                         $          $          ✓         
250                       CD         CD         ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
Macintosh                 NNP        NNP        ✓         
SE                        NNP        NNP        ✓         
central                   JJ         JJ         ✓         
processing                NN         NN         ✓         
unit                      NN         NN         ✓         
;                         :          :          ✓         
$                         $          $          ✓         
250                       CD         CD         ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
Macintosh                 NNP        NNP        ✓         
SE\/30                    NNP        NNP        ✓         
cpu                       NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
$                         $          $          ✓         
300                       CD         CD         ✓         
on                        IN         IN         ✓         
a                         DT         DT         ✓         
Macintosh                 NNP        NNP        ✓         
IIcx                      NNP        NNP        ✓         
with                      IN         IN         ✓         
any                       DT         DT         ✓         
Apple                     NNP        NNP        ✓         
video                     NN         NN         ✓         
card                      NN         NN         ✓         
and                       CC         CC         ✓         
Apple                     NNP        NNP        ✓         
monitor                   NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
rebates                   NNS        NNS        ✓         
,                         ,          ,          ✓         
as                        IN         IN         ✓         
a                         DT         DT         ✓         
percentage                NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
retail                    JJ         JJ         ✓         
cost                      NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
cpu                       NN         NN         ✓         
of                        IN         IN         ✓         
each                      DT         DT         ✓         
system                    NN         NN         ✓         
,                         ,          ,          ✓         
amount                    NN         NN         ✓         
to                        TO         TO         ✓         
6                         CD         CD         ✓         
%                         NN         NN         ✓         
to                        TO         TO         ✓         
13                        CD         CD         ✓         
%                         NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
company                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
also                      RB         RB         ✓         
offering                  VBG        VBG        ✓         
a                         DT         DT         ✓         
free                      JJ         JJ         ✓         
trial                     NN         NN         ✓         
of                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
computers                 NNS        NNS        ✓         
to                        TO         TO         ✓         
consumers                 NNS        NNS        ✓         
who                       WP         WP         ✓         
qualify                   VBP        VBP        ✓         
for                       IN         IN         ✓         
its                       PRP$       PRP$       ✓         
credit                    NN         NN         ✓         
cards                     NNS        NNS        ✓         
or                        CC         CC         ✓         
leases                    NNS        NNS        ✓         
.                         .          .          ✓         

Matsushita                NNP        NNP        ✓         
Electric                  NNP        NNP        ✓         
Industrial                NNP        NNP        ✓         
Co.                       NNP        NNP        ✓         
of                        IN         IN         ✓         
Japan                     NNP        NNP        ✓         
and                       CC         CC         ✓         
Siemens                   NNP        NNP        ✓         
AG                        NNP        NNP        ✓         
of                        IN         IN         ✓         
West                      NNP        NNP        ✓         
Germany                   NNP        NNP        ✓         
announced                 VBD        VBD        ✓         
they                      PRP        PRP        ✓         
have                      VBP        VBP        ✓         
completed                 VBN        VBN        ✓         
a                         DT         DT         ✓         
100                       CD         CD         ✓         
million-mark              JJ         NN         ✗ JJ->NN  
(                         (          (          ✓         
$                         $          $          ✓         
52.2                      CD         CD         ✓         
million                   CD         CD         ✓         
)                         )          )          ✓         
joint                     JJ         JJ         ✓         
venture                   NN         NN         ✓         
to                        TO         TO         ✓         
produce                   VB         VB         ✓         
electronics               NNS        NN         ✗ NNS->NN 
parts                     NNS        NNS        ✓         
.                         .          .          ✓         

In                        IN         IN         ✓         
the                       DT         DT         ✓         
venture                   NN         NN         ✓         
's                        POS        POS        ✓         
first                     JJ         JJ         ✓         
fiscal                    JJ         JJ         ✓         
year                      NN         NN         ✓         
,                         ,          ,          ✓         
Siemens                   NNP        NNP        ✓         
will                      MD         MD         ✓         
hold                      VB         VB         ✓         
74.9                      CD         CD         ✓         
%                         NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
venture                   NN         NN         ✓         
and                       CC         CC         ✓         
a                         DT         DT         ✓         
Matsushita                NNP        NNP        ✓         
subsidiary                NN         NN         ✓         
,                         ,          ,          ✓         
Matsushita                NNP        NNP        ✓         
Electronic                NNP        NNP        ✓         
Components                NNPS       NNP        ✗ NNPS->NNP
Co.                       NNP        NNP        ✓         
,                         ,          ,          ✓         
25.1                      CD         CD         ✓         
%                         NN         NN         ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
basic                     JJ         JJ         ✓         
agreement                 NN         NN         ✓         
between                   IN         IN         ✓         
the                       DT         DT         ✓         
two                       CD         CD         ✓         
companies                 NNS        NNS        ✓         
was                       VBD        VBD        ✓         
announced                 VBN        VBN        ✓         
in                        IN         IN         ✓         
June                      NNP        NNP        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
new                       JJ         JJ         ✓         
company                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
called                    VBN        VBN        ✓         
Siemens                   NNP        NNP        ✓         
Matsushita                NNP        NNP        ✓         
Components                NNPS       NNP        ✗ NNPS->NNP
G.m.b                     NNP        NNP        ✓         
.                         .          .          ✓         
H                         NN         NNP        ✗ NN->NNP 
.                         .          .          ✓         

It                        PRP        PRP        ✓         
will                      MD         MD         ✓         
have                      VB         VB         ✓         
its                       PRP$       PRP$       ✓         
headquarters              NNS        NN         ✗ NNS->NN 
in                        IN         IN         ✓         
Munich                    NNP        NNP        ✓         
.                         .          .          ✓         

Matsushita                NNP        NNP        ✓         
's                        POS        POS        ✓         
share                     NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
venture                   NN         NN         ✓         
will                      MD         MD         ✓         
rise                      VB         VB         ✓         
to                        TO         TO         ✓         
35                        CD         CD         ✓         
%                         NN         NN         ✓         
Oct.                      NNP        NNP        ✓         
1                         CD         CD         ✓         
,                         ,          ,          ✓         
1990                      CD         CD         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
to                        TO         TO         ✓         
50                        CD         CD         ✓         
%                         NN         NN         ✓         
the                       DT         DT         ✓         
following                 VBG        VBG        ✓         
Oct.                      NNP        NNP        ✓         
1                         CD         CD         ✓         
.                         .          .          ✓         

Siemens                   NNP        NNP        ✓         
will                      MD         MD         ✓         
retain                    VB         VB         ✓         
majority                  NN         NN         ✓         
voting                    VBG        NN         ✗ VBG->NN 
rights                    NNS        NNS        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
parent                    NN         NN         ✓         
companies                 NNS        NNS        ✓         
forecast                  VBP        VBP        ✓         
sales                     NNS        NNS        ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
venture                   NN         NN         ✓         
of                        IN         IN         ✓         
around                    IN         IN         ✓         
750                       CD         CD         ✓         
million                   CD         CD         ✓         
marks                     NNS        NNS        ✓         
for                       IN         IN         ✓         
its                       PRP$       PRP$       ✓         
first                     JJ         JJ         ✓         
fiscal                    JJ         JJ         ✓         
year                      NN         NN         ✓         
,                         ,          ,          ✓         
Matsushita                NNP        NNP        ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

Sales                     NNS        NNS        ✓         
are                       VBP        VBP        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
rise                      VB         VB         ✓         
to                        TO         TO         ✓         
one                       CD         CD         ✓         
billion                   CD         CD         ✓         
marks                     NNS        NNS        ✓         
after                     IN         IN         ✓         
four                      CD         CD         ✓         
years                     NNS        NNS        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
company                   NN         NN         ✓         
will                      MD         MD         ✓         
have                      VB         VB         ✓         
production                NN         NN         ✓         
facilities                NNS        NNS        ✓         
in                        IN         IN         ✓         
West                      NNP        NNP        ✓         
Germany                   NNP        NNP        ✓         
,                         ,          ,          ✓         
Austria                   NNP        NNP        ✓         
,                         ,          ,          ✓         
France                    NNP        NNP        ✓         
and                       CC         CC         ✓         
Spain                     NNP        NNP        ✓         
.                         .          .          ✓         

Roger                     NNP        NNP        ✓         
Rosenblatt                NNP        NNP        ✓         
,                         ,          ,          ✓         
editor                    NN         NN         ✓         
of                        IN         IN         ✓         
U.S.                      NNP        NNP        ✓         
News                      NNP        NNP        ✓         
&                         CC         CC         ✓         
World                     NNP        NNP        ✓         
Report                    NNP        NNP        ✓         
,                         ,          ,          ✓         
resigned                  VBD        VBD        ✓         
Friday                    NNP        NNP        ✓         
from                      IN         IN         ✓         
the                       DT         DT         ✓         
weekly                    JJ         JJ         ✓         
news                      NN         NN         ✓         
magazine                  NN         NN         ✓         
.                         .          .          ✓         

Mr.                       NNP        NNP        ✓         
Rosenblatt                NNP        NNP        ✓         
said                      VBD        VBD        ✓         
he                        PRP        PRP        ✓         
resigned                  VBD        VBD        ✓         
because                   IN         IN         ✓         
of                        IN         IN         ✓         
difficulties              NNS        NNS        ✓         
with                      IN         IN         ✓         
commuting                 VBG        VBG        ✓         
between                   IN         IN         ✓         
his                       PRP$       PRP$       ✓         
home                      NN         NN         ✓         
in                        IN         IN         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
magazine                  NN         NN         ✓         
's                        POS        POS        ✓         
editorial                 NN         JJ         ✗ NN->JJ  
offices                   NNS        NNS        ✓         
in                        IN         IN         ✓         
Washington                NNP        NNP        ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
Frankly                   NNP        RB         ✗ NNP->RB 
,                         ,          ,          ✓         
I                         PRP        PRP        ✓         
missed                    VBD        VBD        ✓         
my                        PRP$       PRP$       ✓         
family                    NN         NN         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
said                      VBD        VBD        ✓         
Mr.                       NNP        NNP        ✓         
Rosenblatt                NNP        NNP        ✓         
.                         .          .          ✓         

In                        IN         IN         ✓         
Mr.                       NNP        NNP        ✓         
Rosenblatt                NNP        NNP        ✓         
's                        POS        POS        ✓         
tenure                    NN         NN         ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
magazine                  NN         NN         ✓         
's                        POS        POS        ✓         
advertising               NN         NN         ✓         
pages                     NNS        NNS        ✓         
and                       CC         CC         ✓         
circulation               NN         NN         ✓         
have                      VBP        VBP        ✓         
grown                     VBN        VBN        ✓         
significantly             RB         RB         ✓         
.                         .          .          ✓         

But                       CC         CC         ✓         
at                        IN         IN         ✓         
2.3                       CD         CD         ✓         
million                   CD         CD         ✓         
weekly                    RB         JJ         ✗ RB->JJ  
paid                      VBN        VBN        ✓         
circulation               NN         NN         ✓         
,                         ,          ,          ✓         
U.S.                      NNP        NNP        ✓         
News                      NNP        NNP        ✓         
still                     RB         RB         ✓         
ranks                     VBZ        VBZ        ✓         
third                     JJ         JJ         ✓         
behind                    IN         IN         ✓         
Time                      NNP        NNP        ✓         
Warner                    NNP        NNP        ✓         
Inc.                      NNP        NNP        ✓         
's                        POS        POS        ✓         
Time                      NNP        NNP        ✓         
magazine                  NN         NN         ✓         
,                         ,          ,          ✓         
with                      IN         IN         ✓         
4.4                       CD         CD         ✓         
million                   CD         CD         ✓         
circulation               NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
Washington                NNP        NNP        ✓         
Post                      NNP        NNP        ✓         
Co.                       NNP        NNP        ✓         
's                        POS        POS        ✓         
Newsweek                  NNP        NNP        ✓         
,                         ,          ,          ✓         
with                      IN         IN         ✓         
3.3                       CD         CD         ✓         
million                   CD         CD         ✓         
circulation               NN         NN         ✓         
.                         .          .          ✓         

Mortimer                  NNP        NNP        ✓         
B.                        NNP        NNP        ✓         
Zuckerman                 NNP        NNP        ✓         
,                         ,          ,          ✓         
chairman                  NN         NN         ✓         
and                       CC         CC         ✓         
editor                    NN         NN         ✓         
in                        IN         IN         ✓         
chief                     NN         NN         ✓         
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
Mr.                       NNP        NNP        ✓         
Rosenblatt                NNP        NNP        ✓         
would                     MD         MD         ✓         
be                        VB         VB         ✓         
succeeded                 VBN        VBN        ✓         
starting                  VBG        VBG        ✓         
today                     NN         NN         ✓         
by                        IN         IN         ✓         
Michael                   NNP        NNP        ✓         
Ruby                      NNP        NNP        ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
magazine                  NN         NN         ✓         
's                        POS        POS        ✓         
executive                 NN         JJ         ✗ NN->JJ  
editor                    NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
Merrill                   NNP        NNP        ✓         
McLoughlin                NNP        NNP        ✓         
,                         ,          ,          ✓         
a                         DT         DT         ✓         
senior                    JJ         JJ         ✓         
writer                    NN         NN         ✓         
.                         .          .          ✓         

Mr.                       NNP        NNP        ✓         
Ruby                      NNP        NNP        ✓         
and                       CC         CC         ✓         
Ms.                       NNP        NNP        ✓         
McLoughlin                NNP        NNP        ✓         
are                       VBP        VBP        ✓         
married                   VBN        VBN        ✓         
to                        TO         TO         ✓         
each                      DT         DT         ✓         
other                     JJ         JJ         ✓         
.                         .          .          ✓         

Mr.                       NNP        NNP        ✓         
Zuckerman                 NNP        NNP        ✓         
